Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,CareerCluster
1,1,5,3,5,4,2,2,1,3,1,4,Arts & Humanities
1,3,5,3,1,5,2,3,2,2,3,2,Engineering & Tech
5,1,1,2,1,1,4,1,5,2,5,2,Business & Finance
4,1,2,2,5,5,1,2,5,1,3,3,Arts & Humanities
1,4,5,1,1,4,2,5,3,4,5,4,Business & Finance
4,1,5,5,4,2,3,5,2,5,4,3,Science & Medical
1,4,5,4,5,5,2,5,1,3,1,1,Arts & Humanities
2,2,5,4,2,4,3,4,1,2,5,3,Engineering & Tech
3,3,4,1,1,1,3,1,1,4,2,3,Engineering & Tech
5,3,2,3,2,1,3,4,4,5,2,5,Business & Finance
3,4,1,4,1,4,3,5,4,3,4,5,Business & Finance
5,2,4,3,3,4,3,5,5,3,2,5,Education & Social Work
5,5,2,2,4,1,1,3,2,2,3,5,Skilled Trades & Ops
4,1,4,2,5,4,4,3,2,1,5,4,Arts & Humanities
2,2,5,4,3,2,5,1,1,2,5,1,Science & Medical
4,2,3,2,1,4,2,2,2,3,1,2,Engineering & Tech
2,1,5,1,5,2,2,2,4,2,4,2,Arts & Humanities
1,5,5,2,5,1,2,3,1,5,3,2,Engineering & Tech
3,4,2,3,3,5,3,5,4,2,1,5,Arts & Humanities
3,3,5,4,5,3,3,2,5,4,4,2,Engineering & Tech
4,5,2,2,1,4,5,5,5,2,5,2,Education & Social Work
3,2,5,4,5,3,1,3,4,1,1,4,Engineering & Tech
5,2,3,1,4,2,4,5,4,2,2,4,Education & Social Work
1,3,1,1,2,2,1,3,2,3,5,4,Business & Finance
1,4,1,2,2,4,4,3,2,5,3,1,Education & Social Work
3,5,1,3,2,5,3,4,1,1,4,4,Skilled Trades & Ops
3,3,5,2,4,1,5,1,1,5,5,3,Business & Finance
5,1,5,3,5,4,1,3,1,3,2,5,Arts & Humanities
1,4,4,3,2,5,4,1,4,4,3,3,Business & Finance
5,1,4,2,5,3,4,1,3,4,1,3,Arts & Humanities
5,4,3,3,2,5,1,3,5,5,1,3,Business & Finance
2,1,1,3,3,4,1,1,2,3,2,4,Arts & Humanities
3,5,5,2,1,5,5,1,1,2,3,4,Engineering & Tech
5,2,5,4,3,3,1,5,1,3,1,1,Engineering & Tech
5,5,2,4,2,5,2,2,1,1,4,2,Skilled Trades & Ops
1,4,2,5,3,4,4,3,4,3,3,4,Engineering & Tech
2,1,4,3,1,5,5,4,1,1,1,3,Science & Medical
1,3,5,1,5,5,3,4,3,3,1,3,Arts & Humanities
5,1,1,1,2,4,4,3,4,2,1,5,Education & Social Work
1,2,1,1,4,2,5,2,1,2,2,2,Education & Social Work
4,4,2,5,5,2,1,1,3,3,3,5,Skilled Trades & Ops
3,4,1,2,5,3,1,4,5,4,1,1,Business & Finance
5,4,3,2,5,1,2,4,3,5,3,2,Skilled Trades & Ops
1,3,1,5,4,5,2,5,1,1,1,3,Arts & Humanities
5,2,1,4,3,1,3,2,3,5,2,4,Business & Finance
5,3,5,4,3,3,3,1,2,5,1,3,Engineering & Tech
3,5,4,3,4,1,3,4,4,4,3,2,Skilled Trades & Ops
4,5,2,4,4,5,4,4,2,4,1,2,Skilled Trades & Ops
